Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
44:58.5,-0.01,0.44,-0.8,-1,32.4,0.009,0
44:58.5,0.04,0.35,-0.95,-1,32.4,0.009,0
44:58.5,0.08,0.45,-0.89,-1,32.4,0.009,0
44:58.6,-0.06,0.35,-0.93,-1,32.4,0.021,0
44:58.6,-0.04,0.38,-0.88,-1,32.4,0.038,0
44:58.6,0,0.41,-0.84,-1,32.4,0.052,0
44:58.7,-0.02,0.42,-0.85,-1,32.4,0.071,0
44:58.7,-0.04,0.38,-0.85,-1,32.4,0.106,0
44:58.7,-0.06,0.4,-0.83,-1,32.4,0.14,0
44:58.8,-0.07,0.35,-0.86,-1,32.4,0.178,0
44:58.8,-0.05,0.36,-0.84,-1,32.4,0.213,0
44:58.8,-0.05,0.29,-0.84,-1,32.4,0.236,0
44:58.8,-0.08,0.29,-0.85,-1,32.4,0.255,0
44:58.9,-0.06,0.34,-0.86,-1,32.4,0.268,0
44:58.9,-0.05,0.26,-0.86,-1,32.4,0.273,0
44:58.9,-0.02,0.23,-0.87,-1,32.4,0.273,0
44:59.0,-0.09,0.3,-0.85,-1,32.4,0.261,0
44:59.0,-0.1,0.32,-0.86,-1,32.4,0.263,0
44:59.0,-0.15,0.35,-0.88,-1,32.4,0.273,0
44:59.1,-0.01,0.39,-1.04,-1,32.4,0.276,0
44:59.1,-0.1,0.28,-0.89,-1,32.4,0.283,0
44:59.1,-0.08,0.23,-0.91,-1,32.4,0.293,0
44:59.2,-0.06,0.2,-0.95,-1,32.4,0.303,0
44:59.2,-0.07,0.21,-0.93,-1,32.4,0.306,0
44:59.2,-0.19,0.2,-0.85,-1,32.4,0.313,0
44:59.3,-0.1,0.23,-0.91,-1,32.4,0.323,0
44:59.3,-0.09,0.28,-0.91,-1,32.4,0.336,0
44:59.3,-0.1,0.16,-0.94,-1,32.4,0.342,0
44:59.3,-0.07,0.15,-0.92,-1,32.4,0.347,0
44:59.4,-0.09,0.19,-0.94,-1,32.4,0.355,0
44:59.4,-0.09,0.12,-0.93,-1,32.4,0.355,0
44:59.4,-0.06,0.17,-0.91,-1,32.4,0.355,0
44:59.5,-0.12,0.13,-0.89,-1,32.4,0.355,0
44:59.5,-0.1,0.15,-0.92,-1,32.4,0.355,0
44:59.5,-0.07,0.15,-0.91,-1,32.4,0.358,0
44:59.6,-0.1,0.14,-0.95,-1,32.4,0.358,0
44:59.6,-0.08,0.19,-1,-1,32.4,0.358,0
44:59.6,-0.1,0.19,-0.98,-1,32.4,0.358,0
44:59.7,-0.08,0.12,-0.93,-1,32.4,0.358,0
44:59.7,-0.1,0.16,-0.96,-1,32.4,0.358,0
44:59.7,-0.09,0.17,-0.95,-1,32.4,0.355,0
44:59.8,-0.09,0.13,-0.92,-1,32.4,0.355,0
44:59.8,-0.06,0.17,-0.94,-1,32.4,0.358,0
44:59.8,-0.05,0.12,-0.95,-1,32.4,0.358,0
44:59.8,-0.06,0.08,-0.86,-1,32.4,0.358,0
44:59.9,-0.06,0.09,-0.91,-1,32.4,0.358,0
44:59.9,-0.06,0.15,-0.95,-1,32.4,0.358,0
44:59.9,-0.05,0.15,-0.92,-1,32.4,0.358,0
45:00.0,-0.11,0.11,-0.95,-1,32.4,0.363,0
45:00.0,-0.12,0.16,-0.96,-1,32.4,0.363,0
45:00.0,-0.07,0.14,-0.97,-1,32.4,0.363,0
45:00.1,-0.11,0.12,-0.92,-1,32.4,0.363,0
45:00.1,-0.09,0.11,-0.91,-1,32.4,0.368,0
45:00.1,-0.08,0.11,-0.96,-1,32.4,0.368,0
45:00.2,-0.08,0.11,-0.93,-1,32.4,0.363,0
45:00.2,-0.1,0.12,-0.9,-1,32.4,0.363,0
45:00.2,-0.08,0.14,-0.96,-1,32.4,0.363,0
45:00.3,-0.08,0.1,-0.92,-1,32.4,0.363,0
45:00.3,-0.11,0.09,-0.87,-1,32.4,0.363,0
45:00.3,-0.11,0.08,-0.95,-1,32.4,0.363,0
45:00.3,-0.05,0.06,-0.96,-1,32.4,0.363,0
45:00.4,-0.1,0.09,-0.94,-1,32.4,0.368,0
45:00.4,-0.1,0.11,-0.94,-1,32.4,0.368,0
45:00.4,-0.12,0.08,-0.96,-1,32.4,0.371,0
45:00.5,-0.08,0.07,-0.96,-1,32.4,0.371,0
45:00.5,-0.09,0.02,-0.91,-1,32.4,0.376,0
45:00.5,-0.13,0.02,-0.97,-1,32.4,0.379,0
45:00.6,-0.12,0.03,-0.94,-1,32.4,0.381,0
45:00.6,-0.1,0.01,-0.94,-1,32.4,0.387,0
45:00.6,-0.13,0,-0.95,-1,32.4,0.392,0
45:00.7,-0.11,0.03,-0.95,-1,32.4,0.392,0
45:00.7,-0.09,0.03,-0.96,-1,32.4,0.395,0
45:00.7,-0.13,0.03,-0.95,-1,32.4,0.395,0
45:00.8,-0.13,0.05,-0.92,-1,32.4,0.401,0
45:00.8,-0.12,-0.02,-0.93,-1,32.4,0.401,0
45:00.8,-0.12,0.05,-0.98,-1,32.4,0.401,0
45:00.8,-0.14,0.05,-0.95,-1,32.4,0.403,0
45:00.9,-0.12,0.01,-0.97,-1,32.4,0.406,0
45:00.9,-0.09,0.03,-0.93,-1,32.4,0.409,0
45:00.9,-0.09,0.05,-0.98,-1,32.4,0.409,0
45:01.0,-0.08,0.05,-0.89,-1,32.4,0.412,0
45:01.0,-0.08,0.11,-0.92,-1,32.4,0.412,0
45:01.0,-0.12,0.14,-0.92,-1,32.4,0.418,0
45:01.1,-0.19,0.17,-0.85,-1,32.4,0.418,0
45:01.1,-0.09,0.18,-0.88,-1,32.4,0.42,0
45:01.1,-0.04,0.17,-0.86,-1,32.4,0.423,0
45:01.2,-0.2,-0.03,-0.91,-1,32.6,0.426,0
45:01.2,-0.17,-0.12,-0.87,-1,32.6,0.429,0
45:01.2,-0.11,0.04,-0.94,-1,32.6,0.431,0
45:01.3,-0.16,0.21,-1.04,-1,32.6,0.431,0
45:01.3,-0.18,-0.03,-0.92,-1,32.6,0.431,0
45:01.3,-0.14,0.04,-0.99,-1,32.6,0.437,0
45:01.3,-0.17,0.1,-0.98,-1,32.6,0.437,0
45:01.4,-0.15,0.04,-0.95,-1,32.6,0.44,0
45:01.4,-0.15,0.11,-0.93,-1,32.6,0.442,0
45:01.4,-0.16,0.04,-0.95,-1,32.6,0.442,0
45:01.5,-0.15,0.09,-0.89,-1,32.6,0.442,0
45:01.5,-0.14,0.03,-0.92,-1,32.6,0.442,0
45:01.5,-0.13,0.16,-0.88,-1,32.6,0.442,0
45:01.6,-0.16,0.17,-0.93,-1,32.6,0.442,0
45:01.6,-0.19,0.21,-0.97,-1,32.6,0.442,0
45:01.6,-0.13,0.1,-0.87,-1,32.6,0.445,0
45:01.7,-0.24,0.33,-0.9,-1,32.6,0.442,0
45:01.7,-0.23,0.31,-0.85,-1,32.6,0.442,0
45:01.7,-0.27,0.27,-0.81,-1,32.6,0.442,0
45:01.8,-0.21,0.38,-0.77,-1,32.4,0.441,0
45:01.8,-0.24,0.3,-0.88,-1,32.4,0.445,0
45:01.8,-0.17,0.21,-0.9,-1,32.4,0.442,0
45:01.8,-0.2,0.35,-0.69,-1,32.4,0.442,0
45:01.9,-0.19,0.39,-0.72,-1,32.4,0.44,0
45:01.9,-0.39,0.54,-0.54,-1,32.4,0.44,0
45:01.9,-0.21,0.34,-0.62,-1,32.4,0.442,0
45:02.0,-0.25,0.7,-0.7,-1,32.4,0.442,0
45:02.0,-0.22,0.52,-0.52,-1,32.4,0.448,0
45:02.0,-0.1,0.72,-0.58,-1,32.4,0.448,0
45:02.1,-0.24,0.79,-0.61,-1,32.4,0.454,0
45:02.1,-0.21,0.73,-0.58,-1,32.4,0.465,0
45:02.1,-0.28,0.89,-0.64,-1,32.4,0.471,0
45:02.2,-0.25,1,-0.72,-1,32.4,0.477,0
45:02.2,-0.14,0.82,-0.62,-1,32.4,0.483,0
45:02.2,-0.05,0.35,-0.56,-1,32.4,0.485,0
45:02.2,-0.14,0.35,-0.56,-1,32.4,0.489,0
45:02.3,-0.19,0.4,-0.68,-1,32.4,0.489,0
45:02.3,-0.14,0.56,-0.86,-1,32.4,0.489,0
45:02.3,-0.18,0.5,-0.83,-1,32.4,0.489,0
45:02.4,-0.05,0.23,-0.81,-1,32.4,0.492,0
45:02.4,-0.2,0.31,-0.77,-1,32.4,0.492,0
45:02.4,-0.07,0.34,-0.84,-1,32.4,0.492,0
45:02.5,-0.22,0.44,-0.82,-1,32.4,0.469,0
45:02.5,-0.17,0.47,-0.77,-1,32.4,0.451,0
45:02.5,-0.19,0.58,-0.78,-1,32.4,0.448,0
45:02.6,-0.14,0.66,-0.73,-1,32.4,0.446,0
45:02.6,-0.13,0.78,-0.75,-1,32.4,0.442,0
45:02.6,-0.03,0.62,-0.68,-1,32.4,0.442,0
45:02.7,-0.23,0.47,-0.73,-1,32.4,0.448,0
45:02.7,0,0.37,-0.88,-1,32.4,0.448,0
45:02.7,-0.01,0.43,-0.82,-1,32.4,0.448,0
45:02.7,-0.26,0.38,-0.59,-1,32.4,0.442,0
45:02.8,-0.12,0.51,-0.76,-1,32.4,0.446,0
45:02.8,-0.18,0.69,-0.75,-1,32.4,0.445,0
45:02.8,-0.01,0.62,-0.68,-1,32.4,0.446,0
45:02.9,-0.04,0.62,-0.73,-1,32.4,0.429,0
45:02.9,0.17,0.6,-0.67,-1,32.4,0.423,0
45:02.9,0.04,0.82,-0.7,-1,32.4,0.42,0
45:03.0,-0.29,0.74,-0.63,-1,32.4,0.42,0
45:03.0,-0.18,0.62,-0.62,-1,32.4,0.425,0
45:03.0,-0.23,0.57,-0.53,-1,32.4,0.437,0
45:03.1,-0.38,0.66,-0.53,-1,32.4,0.448,0
45:03.1,-0.17,0.74,-0.68,-1,32.4,0.46,0
45:03.1,0.14,0.41,-0.72,-1,32.4,0.469,0
45:03.2,0.26,0.48,-0.71,-1,32.4,0.477,0
45:03.2,-0.13,0.82,-0.7,-1,32.4,0.483,0
45:03.2,-0.44,0.82,-0.59,-1,32.4,0.457,0
45:03.3,-0.43,0.61,-0.59,-1,32.4,0.46,0
45:03.3,0.12,0.39,-0.77,-1,32.4,0.469,0
45:03.3,0,0.58,-0.68,-1,32.4,0.477,0
45:03.3,-0.06,0.65,-0.68,-1,32.4,0.483,0
45:03.4,-0.12,0.56,-0.73,-1,32.4,0.483,0
45:03.4,-0.07,0.48,-0.72,-1,32.4,0.483,0
45:03.4,-0.15,0.59,-0.68,-1,32.4,0.483,0
45:03.5,-0.15,0.63,-0.73,-1,32.4,0.483,0
45:03.5,-0.14,0.5,-0.67,-1,32.4,0.483,0
45:03.5,-0.1,0.5,-0.71,-1,32.4,0.483,0
45:03.6,-0.13,0.51,-0.77,-1,32.4,0.489,0
45:03.6,-0.13,0.52,-0.72,-1,32.4,0.489,0
45:03.6,-0.11,0.51,-0.74,-1,32.4,0.492,0
45:03.7,-0.16,0.5,-0.72,-1,32.4,0.495,0
45:03.7,-0.1,0.55,-0.72,-1,32.4,0.498,0
45:03.7,-0.14,0.56,-0.72,-1,32.4,0.501,0
45:03.8,-0.12,0.59,-0.72,-1,32.4,0.501,0
45:03.8,-0.12,0.51,-0.74,-1,32.4,0.501,0
45:03.8,-0.04,0.48,-0.63,-1,32.4,0.501,0
45:03.8,-0.13,0.62,-0.58,-1,32.4,0.501,0
45:03.9,-0.12,0.69,-0.71,-1,32.4,0.501,0
45:03.9,-0.17,0.56,-0.97,-1,32.4,0.501,0
45:03.9,-0.12,0.48,-0.73,-1,32.4,0.498,0
45:04.0,-0.11,0.55,-0.86,-1,32.4,0.495,0
45:04.0,-0.16,0.45,-0.87,-1,32.4,0.495,0
45:04.0,-0.12,0.4,-0.77,-1,32.4,0.492,0
45:04.1,-0.14,0.41,-0.78,-1,32.4,0.492,0
45:04.1,-0.11,0.44,-0.8,-1,32.4,0.489,0
45:04.1,-0.14,0.45,-0.77,-1,32.4,0.492,0
45:04.2,-0.12,0.37,-0.82,-1,32.4,0.492,0
45:04.2,-0.12,0.43,-0.8,-1,32.4,0.492,0
45:04.2,-0.05,0.49,-0.82,-1,32.4,0.501,0
45:04.3,-0.04,0.46,-0.89,-1,32.4,0.507,0
45:04.3,-0.07,0.51,-0.84,-1,32.4,0.507,0
45:04.3,-0.09,0.5,-0.8,-1,32.4,0.513,0
45:04.3,-0.12,0.49,-0.77,-1,32.4,0.516,0
45:04.4,-0.18,0.5,-0.71,-1,32.4,0.519,0
45:04.4,-0.13,0.49,-0.73,-1,32.4,0.519,0
45:04.4,-0.1,0.5,-0.73,-1,32.4,0.521,0
45:04.5,-0.1,0.5,-0.7,-1,32.4,0.525,0
45:04.5,-0.08,0.38,-0.74,-1,32.4,0.525,0
45:04.5,-0.08,0.44,-0.77,-1,32.4,0.528,0
45:04.6,-0.07,0.44,-0.78,-1,32.4,0.528,0
45:04.6,-0.07,0.4,-0.82,-1,32.4,0.528,0
45:04.6,-0.1,0.48,-0.86,-1,32.4,0.531,0
45:04.7,-0.14,0.49,-0.84,-1,32.4,0.531,0
45:04.7,-0.03,0.42,-0.86,-1,32.4,0.531,0
45:04.7,-0.15,0.45,-0.86,-1,32.4,0.531,0
45:04.8,-0.11,0.46,-0.89,-1,32.4,0.531,0
45:04.8,-0.09,0.44,-0.84,-1,32.4,0.531,0
45:04.8,-0.12,0.47,-0.79,-1,32.4,0.535,0
45:04.8,-0.08,0.42,-0.82,-1,32.4,0.535,0
45:04.9,-0.03,0.4,-0.84,-1,32.4,0.535,0
45:04.9,-0.06,0.42,-0.79,-1,32.4,0.537,0
45:04.9,-0.09,0.41,-0.86,-1,32.4,0.537,0
45:05.0,-0.09,0.4,-0.78,-1,32.4,0.537,0
45:05.0,-0.15,0.45,-0.77,-1,32.4,0.537,0
45:05.0,-0.13,0.44,-0.82,-1,32.4,0.541,0
45:05.1,-0.08,0.44,-0.82,-1,32.4,0.541,0
45:05.1,-0.1,0.47,-0.84,-1,32.4,0.537,0
45:05.1,-0.12,0.43,-0.81,-1,32.4,0.537,0
45:05.2,-0.09,0.37,-0.82,-1,32.4,0.537,0
45:05.2,-0.08,0.38,-0.82,-1,32.4,0.537,0
45:05.2,-0.12,0.39,-0.78,-1,32.4,0.531,0
45:05.3,-0.11,0.41,-0.83,-1,32.4,0.531,0
45:05.3,-0.09,0.45,-0.84,-1,32.4,0.531,0
45:05.3,-0.09,0.44,-0.82,-1,32.4,0.531,0
45:05.3,-0.1,0.43,-0.84,-1,32.4,0.531,0
45:05.4,-0.12,0.4,-0.81,-1,32.4,0.531,0
45:05.4,-0.11,0.39,-0.81,-1,32.4,0.528,0
45:05.4,-0.11,0.42,-0.83,-1,32.4,0.528,0
45:05.5,-0.11,0.4,-0.83,-1,32.4,0.525,0
45:05.5,-0.1,0.41,-0.84,-1,32.4,0.525,0
45:05.5,-0.1,0.43,-0.86,-1,32.4,0.525,0
45:05.6,-0.12,0.4,-0.81,-1,32.4,0.525,0
45:05.6,-0.1,0.38,-0.82,-1,32.4,0.525,0
45:05.6,-0.12,0.42,-0.84,-1,32.4,0.525,0
45:05.7,-0.11,0.39,-0.83,-1,32.4,0.525,0
45:05.7,-0.11,0.37,-0.83,-1,32.2,0.521,0
45:05.7,-0.11,0.4,-0.85,-1,32.4,0.525,0
45:05.8,-0.12,0.38,-0.84,-1,32.4,0.525,0
45:05.8,-0.13,0.36,-0.84,-1,32.4,0.525,0
45:05.8,-0.1,0.37,-0.84,-1,32.4,0.525,0
45:05.8,-0.14,0.36,-0.85,-1,32.4,0.525,0
45:05.9,-0.14,0.35,-0.82,-1,32.4,0.525,0
45:05.9,-0.14,0.37,-0.86,-1,32.4,0.528,0
45:05.9,-0.13,0.35,-0.86,-1,32.4,0.531,0
45:06.0,-0.12,0.31,-0.84,-1,32.4,0.535,0
45:06.0,-0.15,0.34,-0.84,-1,32.4,0.537,0
45:06.0,-0.12,0.36,-0.85,-1,32.4,0.543,0
45:06.1,-0.13,0.39,-0.85,-1,32.4,0.543,0
45:06.1,-0.16,0.38,-0.86,-1,32.4,0.546,0
45:06.1,-0.15,0.35,-0.85,-1,32.4,0.546,0
45:06.2,-0.15,0.34,-0.87,-1,32.4,0.549,0
45:06.2,-0.15,0.35,-0.89,-1,32.4,0.549,0
45:06.2,-0.16,0.4,-0.83,-1,32.4,0.549,0
45:06.3,-0.17,0.39,-0.86,-1,32.4,0.549,0
45:06.3,-0.13,0.39,-0.8,-1,32.4,0.549,0
45:06.3,-0.15,0.45,-0.74,-1,32.4,0.549,0
45:06.3,-0.16,0.49,-0.85,-1,32.4,0.549,0
45:06.4,-0.15,0.44,-0.78,-1,32.4,0.549,0
45:06.4,-0.15,0.46,-0.84,-1,32.4,0.549,0
45:06.4,-0.14,0.39,-0.83,-1,32.4,0.553,0
45:06.5,-0.17,0.37,-0.78,-1,32.4,0.553,0
45:06.5,-0.2,0.43,-0.84,-1,32.4,0.556,0
45:06.5,-0.18,0.41,-0.79,-1,32.4,0.556,0
45:06.6,-0.17,0.41,-0.78,-1,32.4,0.556,0
45:06.6,-0.14,0.47,-0.81,-1,32.4,0.556,0
45:06.6,-0.18,0.42,-0.76,-1,32.4,0.556,0
45:06.7,-0.29,0.38,-0.71,-1,32.4,0.556,0
45:06.7,-0.17,0.4,-0.76,-1,32.4,0.556,0
45:06.7,-0.2,0.37,-0.68,-1,32.4,0.556,0
45:06.7,-0.22,0.44,-0.82,-1,32.4,0.556,0
45:06.8,-0.17,0.5,-1,-1,32.4,0.556,0
45:06.8,-0.17,0.36,-0.7,-1,32.4,0.556,0
45:06.8,-0.15,0.44,-0.93,-1,32.4,0.556,0
45:06.9,-0.15,0.41,-0.86,-1,32.4,0.556,0
45:06.9,-0.16,0.39,-0.87,-1,32.4,0.556,0
45:06.9,-0.16,0.43,-0.75,-1,32.4,0.556,0
45:07.0,-0.15,0.37,-0.91,-1,32.4,0.556,0
45:07.0,-0.17,0.43,-0.92,-1,32.4,0.556,0
45:07.0,-0.12,0.37,-0.84,-1,32.4,0.556,0
45:07.1,-0.13,0.38,-0.83,-1,32.4,0.556,0
45:07.1,-0.22,0.39,-0.85,-1,32.4,0.556,0
45:07.1,-0.2,0.45,-0.78,-1,32.4,0.553,0
45:07.2,-0.21,0.45,-0.79,-1,32.4,0.553,0
45:07.2,-0.19,0.42,-0.8,-1,32.4,0.553,0
45:07.2,-0.11,0.4,-0.75,-1,32.4,0.553,0
45:07.2,-0.16,0.42,-0.81,-1,32.4,0.553,0
45:07.3,-0.17,0.37,-0.86,-1,32.4,0.553,0
45:07.3,-0.12,0.39,-0.81,-1,32.4,0.553,0
45:07.3,-0.11,0.34,-0.83,-1,32.4,0.556,0
45:07.4,-0.2,0.45,-0.84,-1,32.4,0.556,0
45:07.4,-0.19,0.44,-0.81,-1,32.4,0.556,0
45:07.4,-0.18,0.39,-0.82,-1,32.4,0.562,0
45:07.5,-0.17,0.4,-0.83,-1,32.4,0.558,0
45:07.5,-0.17,0.38,-0.82,-1,32.4,0.562,0
45:07.5,-0.17,0.37,-0.82,-1,32.4,0.562,0
45:07.6,-0.16,0.37,-0.82,-1,32.4,0.558,0
45:07.6,-0.16,0.37,-0.81,-1,32.4,0.562,0
45:07.6,-0.17,0.37,-0.8,-1,32.4,0.562,0
45:07.7,-0.17,0.37,-0.81,-1,32.4,0.559,0
45:07.7,-0.17,0.37,-0.81,-1,32.4,0.556,0
45:07.7,-0.17,0.37,-0.82,-1,32.4,0.556,0
45:07.8,-0.18,0.39,-0.82,-1,32.2,0.556,0
45:07.8,-0.18,0.39,-0.82,-1,32.4,0.556,0
45:07.8,-0.18,0.39,-0.82,-1,32.4,0.556,0
45:07.8,-0.18,0.4,-0.83,-1,32.4,0.556,0
45:07.9,-0.17,0.4,-0.84,-1,32.4,0.556,0
45:07.9,-0.18,0.39,-0.83,-1,32.4,0.556,0
45:07.9,-0.18,0.4,-0.84,-1,32.4,0.556,0
45:08.0,-0.17,0.39,-0.83,-1,32.4,0.556,0
45:08.0,-0.18,0.4,-0.84,-1,32.4,0.556,0
45:08.0,-0.18,0.39,-0.83,-1,32.4,0.556,0
45:08.1,-0.18,0.39,-0.82,-1,32.4,0.556,0
45:08.1,-0.18,0.39,-0.83,-1,32.4,0.556,0
45:08.1,-0.17,0.39,-0.82,-1,32.4,0.556,0
45:08.2,-0.17,0.39,-0.82,-1,32.4,0.556,0
45:08.2,-0.18,0.39,-0.83,-1,32.4,0.556,0
45:08.2,-0.17,0.38,-0.81,-1,32.4,0.556,0
45:08.3,-0.17,0.38,-0.82,-1,32.4,0.556,0
45:08.3,-0.17,0.38,-0.82,-1,32.4,0.556,0
45:08.3,-0.17,0.39,-0.83,-1,32.4,0.556,0
45:08.3,-0.17,0.39,-0.82,-1,32.4,0.556,0
45:08.4,-0.18,0.4,-0.83,-1,32.4,0.556,0
45:08.4,-0.18,0.4,-0.84,-1,32.4,0.556,0
45:08.4,-0.18,0.4,-0.83,-1,32.4,0.556,0
45:08.5,-0.18,0.39,-0.81,-1,32.4,0.553,0
45:08.5,-0.18,0.38,-0.81,-1,32.4,0.553,0
45:08.5,-0.18,0.38,-0.83,-1,32.4,0.553,0
45:08.6,-0.18,0.38,-0.82,-1,32.4,0.553,0
45:08.6,-0.17,0.38,-0.82,-1,32.4,0.553,0
45:08.6,-0.17,0.39,-0.82,-1,32.4,0.549,0
45:08.7,-0.17,0.39,-0.82,-1,32.4,0.549,0
45:08.7,-0.18,0.38,-0.82,-1,32.4,0.549,0
45:08.7,-0.17,0.38,-0.82,-1,32.4,0.549,0
45:08.8,-0.17,0.4,-0.83,-1,32.4,0.549,0
45:08.8,-0.18,0.4,-0.84,-1,32.4,0.549,0
45:08.8,-0.18,0.39,-0.82,-1,32.4,0.549,0
45:08.8,-0.17,0.4,-0.83,-1,32.4,0.549,0
45:08.9,-0.18,0.39,-0.82,-1,32.4,0.549,0
