Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
45:08.9,-0.18,0.39,-0.83,-1,32.4,0.546,0
45:08.9,-0.18,0.39,-0.83,-1,32.4,0.546,0
45:09.0,-0.18,0.4,-0.84,-1,32.4,0.546,0
45:09.0,-0.17,0.4,-0.83,-1,32.4,0.546,0
45:09.0,-0.18,0.4,-0.82,-1,32.4,0.546,0
45:09.1,-0.18,0.41,-0.83,-1,32.4,0.546,0
45:09.1,-0.17,0.4,-0.82,-1,32.4,0.546,0
45:09.1,-0.17,0.41,-0.82,-1,32.4,0.546,0
45:09.2,-0.18,0.41,-0.82,-1,32.4,0.546,0
45:09.2,-0.19,0.41,-0.8,-1,32.4,0.546,0
45:09.2,-0.19,0.41,-0.8,-1,32.4,0.546,0
45:09.3,-0.19,0.4,-0.8,-1,32.4,0.546,0
45:09.3,-0.19,0.4,-0.82,-1,32.4,0.546,0
45:09.3,-0.19,0.39,-0.81,-1,32.2,0.546,0
45:09.3,-0.18,0.39,-0.82,-1,32.4,0.549,0
45:09.4,-0.19,0.39,-0.82,-1,32.4,0.549,0
45:09.4,-0.19,0.4,-0.81,-1,32.4,0.549,0
45:09.4,-0.19,0.4,-0.81,-1,32.4,0.549,0
45:09.5,-0.18,0.41,-0.81,-1,32.2,0.549,0
45:09.5,-0.19,0.41,-0.81,-1,32.4,0.549,0
45:09.5,-0.19,0.41,-0.81,-1,32.4,0.549,0
45:09.6,-0.19,0.42,-0.8,-1,32.2,0.549,0
45:09.6,-0.19,0.42,-0.81,-1,32.4,0.553,0
45:09.6,-0.18,0.42,-0.8,-1,32.4,0.549,0
45:09.7,-0.19,0.41,-0.82,-1,32.4,0.553,0
45:09.7,-0.19,0.4,-0.81,-1,32.4,0.553,0
45:09.7,-0.18,0.42,-0.81,-1,32.4,0.553,0
45:09.8,-0.18,0.39,-0.81,-1,32.4,0.556,0
45:09.8,-0.19,0.41,-0.82,-1,32.4,0.556,0
45:09.8,-0.19,0.39,-0.81,-1,32.4,0.556,0
45:09.8,-0.19,0.4,-0.81,-1,32.4,0.556,0
45:09.9,-0.19,0.41,-0.82,-1,32.4,0.556,0
45:09.9,-0.18,0.42,-0.82,-1,32.4,0.556,0
45:09.9,-0.19,0.4,-0.82,-1,32.4,0.556,0
45:10.0,-0.18,0.42,-0.81,-1,32.4,0.556,0
45:10.0,-0.18,0.41,-0.81,-1,32.4,0.556,0
45:10.0,-0.18,0.41,-0.81,-1,32.4,0.556,0
45:10.1,-0.18,0.41,-0.81,-1,32.4,0.556,0
45:10.1,-0.18,0.41,-0.81,-1,32.4,0.556,0
45:10.1,-0.19,0.41,-0.81,-1,32.4,0.556,0
45:10.2,-0.19,0.41,-0.81,-1,32.4,0.556,0
45:10.2,-0.18,0.4,-0.8,-1,32.4,0.556,0
45:10.2,-0.18,0.41,-0.82,-1,32.4,0.556,0
45:10.3,-0.18,0.4,-0.82,-1,32.4,0.556,0
45:10.3,-0.18,0.41,-0.82,-1,32.4,0.556,0
45:10.3,-0.17,0.41,-0.82,-1,32.4,0.556,0
45:10.3,-0.17,0.41,-0.82,-1,32.4,0.556,0
45:10.4,-0.17,0.4,-0.8,-1,32.4,0.556,0
45:10.4,-0.18,0.41,-0.81,-1,32.4,0.559,0
45:10.4,-0.18,0.42,-0.81,-1,32.4,0.556,0
45:10.5,-0.18,0.41,-0.81,-1,32.4,0.556,0
45:10.5,-0.17,0.41,-0.82,-1,32.2,0.556,0
45:10.5,-0.17,0.41,-0.82,-1,32.4,0.556,0
45:10.6,-0.18,0.41,-0.8,-1,32.4,0.556,0
45:10.6,-0.18,0.4,-0.81,-1,32.4,0.556,0
45:10.6,-0.17,0.4,-0.83,-1,32.4,0.556,0
45:10.7,-0.16,0.42,-0.83,-1,32.4,0.556,0
45:10.7,-0.17,0.4,-0.81,-1,32.4,0.556,0
45:10.7,-0.17,0.41,-0.82,-1,32.4,0.556,0
45:10.8,-0.17,0.42,-0.81,-1,32.4,0.556,0
45:10.8,-0.17,0.42,-0.81,-1,32.4,0.556,0
45:10.8,-0.16,0.42,-0.8,-1,32.4,0.556,0
45:10.8,-0.16,0.43,-0.8,-1,32.4,0.556,0
45:10.9,-0.16,0.42,-0.81,-1,32.4,0.556,0
45:10.9,-0.16,0.42,-0.81,-1,32.4,0.556,0
45:10.9,-0.15,0.42,-0.81,-1,32.4,0.556,0
45:11.0,-0.15,0.42,-0.8,-1,32.4,0.556,0
45:11.0,-0.14,0.41,-0.81,-1,32.4,0.556,0
45:11.0,-0.14,0.43,-0.8,-1,32.4,0.556,0
45:11.1,-0.15,0.45,-0.8,-1,32.4,0.556,0
45:11.1,-0.15,0.45,-0.8,-1,32.4,0.556,0
45:11.1,-0.14,0.45,-0.81,-1,32.4,0.556,0
45:11.2,-0.14,0.45,-0.79,-1,32.4,0.556,0
45:11.2,-0.13,0.44,-0.79,-1,32.4,0.556,0
45:11.2,-0.14,0.44,-0.8,-1,32.4,0.556,0
45:11.3,-0.13,0.43,-0.79,-1,32.4,0.556,0
45:11.3,-0.14,0.41,-0.78,-1,32.4,0.556,0
45:11.3,-0.14,0.42,-0.79,-1,32.4,0.556,0
45:11.3,-0.14,0.42,-0.8,-1,32.4,0.556,0
45:11.4,-0.14,0.42,-0.81,-1,32.4,0.556,0
45:11.4,-0.13,0.42,-0.82,-1,32.4,0.556,0
45:11.4,-0.13,0.43,-0.84,-1,32.4,0.556,0
45:11.5,-0.12,0.44,-0.84,-1,32.4,0.556,0
45:11.5,-0.1,0.46,-0.85,-1,32.4,0.556,0
45:11.5,-0.09,0.47,-0.84,-1,32.4,0.553,0
45:11.6,-0.08,0.47,-0.82,-1,32.4,0.553,0
45:11.6,-0.07,0.47,-0.8,-1,32.4,0.553,0
45:11.6,-0.06,0.47,-0.79,-1,32.4,0.553,0
45:11.7,-0.05,0.48,-0.78,-1,32.4,0.553,0
45:11.7,-0.05,0.47,-0.76,-1,32.4,0.549,0
45:11.7,-0.06,0.48,-0.76,-1,32.4,0.549,0
45:11.7,-0.07,0.49,-0.77,-1,32.4,0.549,0
45:11.8,-0.07,0.47,-0.76,-1,32.4,0.549,0
45:11.8,-0.06,0.48,-0.78,-1,32.4,0.549,0
45:11.8,-0.07,0.49,-0.81,-1,32.4,0.549,0
45:11.9,-0.07,0.47,-0.8,-1,32.2,0.549,0
45:11.9,-0.08,0.47,-0.79,-1,32.4,0.549,0
45:11.9,-0.08,0.47,-0.8,-1,32.4,0.549,0
45:12.0,-0.08,0.47,-0.79,-1,32.4,0.549,0
45:12.0,-0.08,0.46,-0.79,-1,32.4,0.546,0
45:12.0,-0.09,0.46,-0.79,-1,32.4,0.546,0
45:12.1,-0.08,0.46,-0.79,-1,32.4,0.543,0
45:12.1,-0.08,0.46,-0.81,-1,32.4,0.543,0
45:12.1,-0.08,0.47,-0.83,-1,32.4,0.543,0
45:12.2,-0.07,0.47,-0.81,-1,32.4,0.543,0
45:12.2,-0.08,0.47,-0.8,-1,32.4,0.543,0
45:12.2,-0.08,0.48,-0.8,-1,32.4,0.543,0
45:12.2,-0.08,0.48,-0.78,-1,32.4,0.539,0
45:12.3,-0.08,0.49,-0.79,-1,32.4,0.541,0
45:12.3,-0.07,0.48,-0.78,-1,32.4,0.537,0
45:12.3,-0.06,0.49,-0.77,-1,32.4,0.546,0
45:12.4,-0.07,0.48,-0.76,-1,32.4,0.549,0
45:12.4,-0.07,0.5,-0.77,-1,32.4,0.549,0
45:12.4,-0.06,0.52,-0.8,-1,32.4,0.549,0
45:12.5,-0.05,0.54,-0.85,-1,32.4,0.549,0
45:12.5,-0.03,0.57,-0.86,-1,32.4,0.549,0
45:12.5,-0.02,0.54,-0.8,-1,32.4,0.549,0
45:12.6,-0.02,0.51,-0.74,-1,32.4,0.549,0
45:12.6,-0.03,0.49,-0.72,-1,32.4,0.549,0
45:12.6,-0.02,0.46,-0.67,-1,32.4,0.546,0
45:12.7,-0.03,0.47,-0.69,-1,32.4,0.549,0
45:12.7,-0.04,0.48,-0.7,-1,32.4,0.549,0
45:12.7,-0.05,0.48,-0.73,-1,32.4,0.543,0
45:12.8,-0.06,0.48,-0.76,-1,32.4,0.546,0
45:12.8,-0.09,0.44,-0.74,-1,32.4,0.547,0
45:12.8,-0.11,0.42,-0.72,-1,32.2,0.543,0
45:12.8,-0.13,0.4,-0.7,-1,32.4,0.543,0
45:12.9,-0.13,0.37,-0.68,-1,32.4,0.543,0
45:12.9,-0.11,0.36,-0.69,-1,32.4,0.543,0
45:12.9,-0.07,0.35,-0.7,-1,32.4,0.543,0
45:13.0,-0.05,0.33,-0.68,-1,32.4,0.543,0
45:13.0,-0.03,0.29,-0.69,-1,32.4,0.543,0
45:13.0,0,0.26,-0.76,-1,32.4,0.539,0
45:13.1,0.05,0.22,-0.88,-1,32.4,0.543,0
45:13.1,0.09,0.17,-0.93,-1,32.4,0.543,0
45:13.1,0.16,0.2,-1.07,-1,32.2,0.543,0
45:13.2,0.28,0.32,-1.33,-1,32.4,0.543,0
45:13.2,0.35,0.33,-1.24,-1,32.4,0.543,0
45:13.2,0.37,0.31,-1.1,-1,32.4,0.543,0
45:13.3,0.33,0.31,-0.96,-1,32.4,0.543,0
45:13.3,0.24,0.26,-0.76,-1,32.4,0.541,0
45:13.3,0.2,0.21,-0.67,-1,32.4,0.541,0
45:13.3,0.18,0.13,-0.61,-1,32.2,0.537,0
45:13.4,0.17,0.11,-0.59,-1,32.4,0.537,0
45:13.4,0.19,0.09,-0.65,-1,32.4,0.537,0
45:13.4,0.22,0.16,-0.79,-1,32.4,0.537,0
45:13.5,0.26,0.18,-0.84,-1,32.4,0.537,0
45:13.5,0.3,0.11,-0.83,-1,32.4,0.537,0
45:13.5,0.3,0.12,-0.9,-1,32.2,0.537,0
45:13.6,0.32,0.16,-0.98,-1,32.4,0.537,0
45:13.6,0.36,0.13,-0.98,-1,32.4,0.537,0
45:13.6,0.41,0.1,-1.05,-1,32.4,0.537,0
45:13.7,0.51,0.11,-1.1,-1,32.4,0.537,0
45:13.7,0.65,0.11,-1.08,-1,32.2,0.537,0
45:13.7,0.71,0.14,-1.07,-1,32.4,0.537,0
45:13.8,0.72,0.14,-1,-1,32.2,0.537,0
45:13.8,0.72,0.14,-0.87,-1,32.4,0.535,0
45:13.8,0.68,0.17,-0.77,-1,32.4,0.531,0
45:13.8,0.65,0.2,-0.71,-1,32.4,0.531,0
45:13.9,0.64,0.21,-0.71,-1,32.4,0.531,0
45:13.9,0.64,0.2,-0.68,-1,32.4,0.531,0
45:13.9,0.64,0.2,-0.7,-1,32.4,0.528,0
45:14.0,0.63,0.2,-0.71,-1,32.4,0.528,0
45:14.0,0.62,0.17,-0.72,-1,32.4,0.528,0
45:14.0,0.62,0.14,-0.77,-1,32.4,0.528,0
45:14.1,0.61,0.14,-0.79,-1,32.4,0.528,0
45:14.1,0.58,0.12,-0.79,-1,32.4,0.528,0
45:14.1,0.56,0.11,-0.76,-1,32.4,0.525,0
45:14.2,0.53,0.09,-0.75,-1,32.4,0.525,0
45:14.2,0.52,0.08,-0.76,-1,32.4,0.528,0
45:14.2,0.53,0.08,-0.78,-1,32.4,0.525,0
45:14.3,0.55,0.07,-0.79,-1,32.4,0.525,0
45:14.3,0.57,0.06,-0.8,-1,32.4,0.528,0
45:14.3,0.58,0.08,-0.8,-1,32.4,0.525,0
45:14.3,0.58,0.08,-0.78,-1,32.4,0.525,0
45:14.4,0.58,0.08,-0.79,-1,32.4,0.525,0
45:14.4,0.6,0.08,-0.78,-1,32.4,0.525,0
45:14.4,0.6,0.08,-0.78,-1,32.4,0.525,0
45:14.5,0.6,0.09,-0.78,-1,32.4,0.525,0
45:14.5,0.61,0.1,-0.77,-1,32.4,0.525,0
45:14.5,0.61,0.11,-0.75,-1,32.2,0.525,0
45:14.6,0.61,0.12,-0.75,-1,32.4,0.525,0
45:14.6,0.6,0.13,-0.74,-1,32.4,0.522,0
45:14.6,0.61,0.11,-0.74,-1,32.4,0.519,0
45:14.7,0.61,0.11,-0.74,-1,32.4,0.522,0
45:14.7,0.61,0.1,-0.75,-1,32.4,0.519,0
45:14.7,0.61,0.09,-0.75,-1,32.4,0.519,0
45:14.8,0.62,0.08,-0.75,-1,32.4,0.519,0
45:14.8,0.63,0.08,-0.76,-1,32.4,0.519,0
45:14.8,0.62,0.08,-0.76,-1,32.4,0.519,0
45:14.8,0.62,0.08,-0.76,-1,32.4,0.519,0
45:14.9,0.62,0.09,-0.76,-1,32.4,0.519,0
45:14.9,0.62,0.1,-0.74,-1,32.4,0.519,0
45:14.9,0.62,0.09,-0.74,-1,32.4,0.519,0
45:15.0,0.62,0.1,-0.73,-1,32.4,0.519,0
45:15.0,0.63,0.11,-0.73,-1,32.4,0.516,0
45:15.0,0.63,0.1,-0.74,-1,32.4,0.516,0
45:15.1,0.63,0.11,-0.74,-1,32.4,0.516,0
45:15.1,0.64,0.12,-0.74,-1,32.4,0.513,0
45:15.1,0.63,0.11,-0.74,-1,32.4,0.513,0
45:15.2,0.63,0.1,-0.75,-1,32.4,0.513,0
45:15.2,0.63,0.1,-0.76,-1,32.4,0.516,0
45:15.2,0.63,0.1,-0.75,-1,32.4,0.513,0
45:15.3,0.61,0.09,-0.74,-1,32.4,0.513,0
45:15.3,0.6,0.1,-0.73,-1,32.4,0.513,0
45:15.3,0.59,0.1,-0.72,-1,32.4,0.513,0
45:15.3,0.59,0.12,-0.73,-1,32.4,0.516,0
45:15.4,0.6,0.11,-0.75,-1,32.4,0.513,0
45:15.4,0.61,0.12,-0.76,-1,32.4,0.513,0
45:15.4,0.62,0.11,-0.76,-1,32.4,0.513,0
45:15.5,0.61,0.1,-0.76,-1,32.4,0.51,0
45:15.5,0.62,0.09,-0.75,-1,32.4,0.51,0
45:15.5,0.62,0.1,-0.74,-1,32.4,0.51,0
45:15.6,0.62,0.1,-0.74,-1,32.4,0.51,0
45:15.6,0.62,0.11,-0.73,-1,32.4,0.51,0
45:15.6,0.62,0.12,-0.74,-1,32.4,0.51,0
45:15.7,0.61,0.14,-0.74,-1,32.4,0.51,0
45:15.7,0.61,0.14,-0.73,-1,32.4,0.51,0
45:15.7,0.61,0.13,-0.75,-1,32.4,0.51,0
45:15.8,0.61,0.13,-0.74,-1,32.4,0.51,0
45:15.8,0.61,0.15,-0.75,-1,32.4,0.507,0
45:15.8,0.61,0.13,-0.74,-1,32.4,0.51,0
45:15.8,0.62,0.12,-0.75,-1,32.4,0.507,0
45:15.9,0.62,0.11,-0.75,-1,32.4,0.507,0
45:15.9,0.62,0.11,-0.74,-1,32.4,0.51,0
45:15.9,0.61,0.11,-0.75,-1,32.4,0.507,0
45:16.0,0.61,0.12,-0.76,-1,32.2,0.507,0
45:16.0,0.6,0.13,-0.76,-1,32.2,0.507,0
45:16.0,0.6,0.12,-0.75,-1,32.4,0.507,0
45:16.1,0.59,0.13,-0.75,-1,32.4,0.507,0
45:16.1,0.59,0.14,-0.75,-1,32.4,0.507,0
45:16.1,0.59,0.12,-0.75,-1,32.4,0.507,0
45:16.2,0.59,0.12,-0.76,-1,32.2,0.507,0
45:16.2,0.6,0.12,-0.75,-1,32.4,0.507,0
45:16.2,0.6,0.11,-0.75,-1,32.2,0.507,0
45:16.2,0.6,0.12,-0.74,-1,32.4,0.507,0
45:16.3,0.61,0.12,-0.74,-1,32.4,0.507,0
45:16.3,0.61,0.12,-0.74,-1,32.4,0.507,0
45:16.3,0.61,0.12,-0.74,-1,32.4,0.504,0
45:16.4,0.62,0.11,-0.75,-1,32.2,0.504,0
45:16.4,0.62,0.11,-0.75,-1,32.4,0.507,0
45:16.4,0.61,0.12,-0.74,-1,32.4,0.504,0
45:16.5,0.61,0.14,-0.76,-1,32.4,0.507,0
45:16.5,0.6,0.14,-0.76,-1,32.4,0.503,0
45:16.5,0.59,0.15,-0.74,-1,32.4,0.504,0
45:16.6,0.59,0.16,-0.75,-1,32.4,0.504,0
45:16.6,0.6,0.15,-0.77,-1,32.2,0.501,0
45:16.6,0.58,0.14,-0.76,-1,32.4,0.504,0
45:16.7,0.58,0.12,-0.75,-1,32.4,0.504,0
45:16.7,0.56,0.11,-0.74,-1,32.4,0.501,0
45:16.7,0.56,0.13,-0.74,-1,32.4,0.501,0
45:16.7,0.55,0.13,-0.76,-1,32.4,0.501,0
45:16.8,0.56,0.13,-0.75,-1,32.4,0.501,0
45:16.8,0.56,0.12,-0.77,-1,32.4,0.501,0
45:16.8,0.56,0.12,-0.77,-1,32.4,0.501,0
45:16.9,0.56,0.13,-0.76,-1,32.2,0.501,0
45:16.9,0.58,0.14,-0.8,-1,32.4,0.498,0
45:16.9,0.58,0.14,-0.81,-1,32.4,0.501,0
45:17.0,0.58,0.17,-0.83,-1,32.4,0.498,0
45:17.0,0.58,0.12,-0.82,-1,32.4,0.501,0
45:17.0,0.58,0.08,-0.79,-1,32.4,0.501,0
45:17.1,0.56,0.11,-0.78,-1,32.4,0.498,0
45:17.1,0.55,0.15,-0.79,-1,32.4,0.498,0
45:17.1,0.55,0.14,-0.76,-1,32.4,0.498,0
45:17.2,0.55,0.15,-0.74,-1,32.4,0.498,0
45:17.2,0.54,0.16,-0.74,-1,32.4,0.498,0
45:17.2,0.53,0.16,-0.74,-1,32.2,0.498,0
45:17.3,0.54,0.15,-0.75,-1,32.4,0.498,0
45:17.3,0.55,0.16,-0.78,-1,32.4,0.498,0
45:17.3,0.55,0.17,-0.8,-1,32.4,0.495,0
45:17.3,0.56,0.16,-0.8,-1,32.4,0.495,0
45:17.4,0.54,0.17,-0.79,-1,32.4,0.495,0
45:17.4,0.54,0.16,-0.8,-1,32.4,0.495,0
45:17.4,0.54,0.16,-0.8,-1,32.4,0.495,0
45:17.5,0.53,0.16,-0.79,-1,32.4,0.495,0
45:17.5,0.52,0.16,-0.79,-1,32.4,0.495,0
45:17.5,0.5,0.16,-0.78,-1,32.4,0.495,0
45:17.6,0.49,0.17,-0.75,-1,32.4,0.495,0
45:17.6,0.44,0.23,-0.77,-1,32.4,0.492,0
45:17.6,0.37,0.28,-0.78,-1,32.2,0.492,0
45:17.7,0.25,0.3,-0.79,-1,32.4,0.495,0
45:17.7,0.1,0.33,-0.65,-1,32.4,0.492,0
45:17.7,-0.06,0.53,-0.5,-1,32.4,0.492,0
45:17.8,-0.12,0.94,-0.41,-1,32.2,0.492,0
45:17.8,-0.08,1.37,-0.22,-1,32.4,0.492,0
45:17.8,0.02,1.32,-0.01,-1,32.4,0.492,0
45:17.8,0.12,1.39,-0.01,-1,32.4,0.495,0
45:17.9,0.27,1.08,-0.1,-1,32.4,0.492,0
45:17.9,0.48,0.6,0.12,-1,32.4,0.492,0
45:17.9,0.79,0.7,0.33,-1,32.4,0.492,0
45:18.0,1,0.87,0.22,-1,32.4,0.492,0
45:18.0,1.02,0.96,0.13,-1,32.4,0.489,0
45:18.0,1,0.7,0.28,-1,32.2,0.489,0
45:18.1,0.92,0.62,0.4,-1,32.4,0.489,0
45:18.1,0.81,0.54,0.35,-1,32.4,0.486,0
45:18.1,0.71,0.23,0.45,-1,32.4,0.486,0
45:18.2,0.65,0.32,0.59,-1,32.4,0.483,0
45:18.2,0.67,0.38,0.68,-1,32.4,0.483,0
45:18.2,0.64,0.35,0.63,-1,32.4,0.483,0
45:18.3,0.65,0.49,0.76,-1,32.4,0.483,0
45:18.3,0.64,0.41,0.48,-1,32.4,0.483,0
45:18.3,0.68,0.37,0.74,-1,32.4,0.481,0
45:18.3,0.37,-0.22,-0.88,-1,32.4,0.477,0
45:18.4,1.04,1.12,2.02,-1,32.4,0.475,0
45:18.4,0.53,0.23,0.98,-1,32.4,0.471,0
45:18.4,0.56,0,0.42,-1,32.4,0.471,0
45:18.5,0.59,0.26,0.84,-1,32.2,0.471,0
45:18.5,0.5,0.36,0.79,-1,32.4,0.469,0
45:18.5,0.45,0.31,0.35,-1,32.4,0.469,0
45:18.6,0.45,0.01,0.37,-1,32.4,0.469,0
45:18.6,0.51,0.11,0.35,-1,32.2,0.469,0
45:18.6,1.35,1.67,2.82,-1,32.4,0.469,0
45:18.7,0.33,0.15,0.48,-1,32.4,0.469,0
45:18.7,0.52,-0.02,0.41,-1,32.4,0.469,0
45:18.7,0.6,0.4,0.81,-1,32.4,0.469,0
45:18.8,0.55,0.49,0.95,-1,32.2,0.469,0
45:18.8,0.38,0.13,0.48,-1,32.4,0.469,0
45:18.8,0.49,0.24,0.47,-1,32.2,0.469,0
45:18.8,0.41,0.02,0.47,-1,32.4,0.469,0
45:18.9,-0.08,-1.07,1.84,-1,32.4,0.469,0
45:18.9,0.72,0.81,2.41,-1,32.2,0.471,0
45:18.9,0.33,-0.1,0.48,-1,32.2,0.469,0
45:19.0,0.56,-0.05,0.29,-1,32.4,0.471,0
45:19.0,0.64,0.49,1.01,-1,32.4,0.471,0
45:19.0,0.41,0.26,0.66,-1,32.2,0.471,0
45:19.1,0.39,-0.03,0.39,-1,32.4,0.469,0
45:19.1,0.46,0.11,0.38,-1,32.4,0.469,0
45:19.1,-0.49,-0.68,3.22,-1,32.4,0.469,0
45:19.2,0.62,0.01,2.22,-1,32.4,0.471,0
45:19.2,0.63,0,0.21,-1,32.4,0.469,0
45:19.2,0.82,0.5,0.09,-1,32.4,0.469,0
45:19.3,0.8,0.49,0.37,-1,32.2,0.469,0
45:19.3,0.75,0.53,0.21,-1,32.4,0.469,0
45:19.3,0.67,0.54,0.05,-1,32.4,0.469,0
45:19.3,0.64,0.39,0.09,-1,32.4,0.465,0
45:19.4,0.6,0.48,0.09,-1,32.4,0.465,0
45:19.4,0.62,0.64,0.03,-1,32.4,0.465,0
45:19.4,0.64,0.72,0.01,-1,32.6,0.466,0
45:19.5,0.74,0.83,0.07,-1,32.6,0.466,0
45:19.5,0.81,0.94,0.04,-1,32.6,0.465,0
45:19.5,0.83,0.9,0.06,-1,32.6,0.469,0
45:19.6,0.84,0.84,0.07,-1,32.6,0.465,0
